"entity_id","CategoryName","sku","name","description","shortdesc","price","link","image","Brand","Rating","CaffeineType","Count","Flavored","Seasonal","Instock","Facebook","IsKCup"
"374","Flavored Coffee Beans","06-1740","Barrie House Hawaiian Coconut Coffee Beans 3 5lb Bags","","Barrie House Hawaiian Coconut Coffee Beans 3 5lb Bags bulk quantity makes many pots of distinctly fresh tropical coconut flavored coffee from Barrie House Coffee Beans.","129.9900","http://www.coffeeforless.com/barrie-house-hawaiian-coconut-coffee-beans-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-hawaiian-coconut-coffee-beans-3-5lb-bags.jpg","Barrie House","5","Caffeinated","","Yes","No","No","1","0"
"375","Tetley Tea","139","Tetley's Peppermint Herbal Tea 20 Drawstring Tea Bag","","Tetley's Peppermint Herbal Tea 20 Drawstring Tea Bag box allow you to prepare 20 single cups of cool mint herbal tea when you make Tetley's Tea.","5.5000","http://www.coffeeforless.com/tetley-s-peppermint-herbal-tea-20-drawstring-tea-bag.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/tetley_peppermint.gif","Tetley","","Caffeine Free","","Yes","No","No","1","0"
"378","Plates","188","Diplomat 6 inch Plastic Plates 1000ct","","Diplomat 6 inch Plastic Plates 1000ct case keep you stocked with 1000 disposable plates that perfectly meet your needs when you need Plates.","72.9900","http://www.coffeeforless.com/diplomat-6-inch-plastic-plates-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/6inch_plastic_plates.jpg","Diplomat","0","","1000","","","Yes","1","0"
"382","Tazo Tea","153961","Tazo China Green Tips Tea 24ct Box","","Tazo China Green Tips Tea 24ct box allow you to prepare 24 single cups of light, earthy green tea when you make Tazo Tea.","6.5000","http://www.coffeeforless.com/tazo-china-green-tips-tea-24ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/tazo-china-green-tips-tea-24ct-box.jpg","Tazo","5","Caffeinated","","No","No","Yes","1","0"
"384","Bunn Coffee Machines","354","Bunn CWTF 4/2 Twin 12 Cup Automatic Coffee Brewer with 6 Warmers","","The Bunn CWTF 4/2 Twin 12 Cup Automatic Coffee Brewer with 6 Warmers is equipped with the features you expect from automatic coffee brewer by Bunn Coffee Machines.","1650.0000","http://www.coffeeforless.com/bunn-cwtf-4-2-twin-12-cup-automatic-coffee-brewer-6-warmers.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunn4or6pot.gif","Bunn","0","","","","","Yes","1","0"
"386","Plastic Utensils","167","Medium Weight Plastic Knives 1000ct","","Medium Weight Plastic Knives 1000ct supply your coffee or beverage service at home or at the office with disposable Plastic Utensils.","25.0000","http://www.coffeeforless.com/medium-weight-plastic-knives-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/Knives.jpg","Sweetheart","0","","1000","","","Yes","1","0"
"389","Tissues","196","Surpass Facial Tissue 30 Boxes","","Surpass Facial Tissue 30 Boxes are a great deal when supplying your home, office, or business with essential supplies like Surpass Tissues.","53.9500","http://www.coffeeforless.com/surpass-facial-tissue-30-boxes.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/surpass-facial-tissue-30-boxes.jpg","Surpass","0","","30","","","Yes","1","0"
"393","Bunn Coffee Machines","382","Bunn A10A 10-Cup Automatic or Pourover Coffee Brewer","","The Bunn A10A 10-Cup Automatic or Pourover Coffee Brewer coffee machine provides the utility you expect from pourover coffee brewer by Bunn Coffee Machines.","400.0000","http://www.coffeeforless.com/bunn-a10a-10-cup-automatic-or-pourover-coffee-brewer.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunna10.gif","Bunn","0","","","","","No","1","0"
"394","Bunn Coffee Machines","359","Bunn RL 12 Cup BUNN Pour-Omatic Coffee Brewer with 5 Warmers","","The Bunn RL 12 Cup BUNN Pour-Omatic Coffee Brewer with 5 Warmers coffee machine has the utility you expect from pourover coffee brewer by Bunn Coffee Machines.","1150.0000","http://www.coffeeforless.com/bunn-rl-12-cup-bunn-pour-omatic-coffee-brewer-5-warmers.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunn5potsteel.gif","Bunn","0","","","","","Yes","1","0"
"396","Bigelow Tea","150","Bigelow's Raspberry Royale Tea 28ct","","Bigelow's Raspberry Royale Tea 28ct box allow you to make 28 individual servings of sweet berry fruit tea when you serve Bigelow Tea.","5.9500","http://www.coffeeforless.com/bigelows-raspberry-royale-tea-28ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/bigelows-raspberry-royale-tea-28ct.jpg","Bigelow","5","Caffeinated","","Yes","No","No","1","0"
